streetname,from_st,to_st
21ST AVE,NORIEGA ST,ORTEGA ST
21ST AVE,ORTEGA ST,PACHECO ST
21ST AVE,PACHECO ST,QUINTARA ST
21ST AVE,QUINTARA ST,RIVERA ST
21ST AVE,RIVERA ST,SANTIAGO ST
21ST AVE,SANTIAGO ST,TARAVAL ST
IRVING ST,20TH AVE,Intersection
IRVING ST,21ST AVE,Intersection
JUDAH ST,20TH AVE,Intersection
JUDAH ST,21ST AVE,Intersection
KIRKHAM ST,20TH AVE,Intersection
KIRKHAM ST,21ST AVE,Intersection
KIRKHAM ST,22ND AVE,Intersection
KIRKHAM ST,23RD AVE,Intersection
KIRKHAM ST,24TH AVE,Intersection
KIRKHAM ST,25TH AVE,Intersection
KIRKHAM ST,26TH AVE,Intersection
KIRKHAM ST,27TH AVE,Intersection
KIRKHAM ST,28TH AVE,Intersection
KIRKHAM ST,20TH AVE,21ST AVE
KIRKHAM ST,21ST AVE,22ND AVE
KIRKHAM ST,22ND AVE,23RD AVE
KIRKHAM ST,23RD AVE,24TH AVE
KIRKHAM ST,24TH AVE,25TH AVE
KIRKHAM ST,25TH AVE,26TH AVE
KIRKHAM ST,26TH AVE,27TH AVE
KIRKHAM ST,27TH AVE,28TH AVE
KIRKHAM ST,28TH AVE,29TH AVE
LAWTON ST,19TH AVE,Intersection
LAWTON ST,20TH AVE,Intersection
LAWTON ST,21ST AVE,Intersection
LAWTON ST,18TH AVE,19TH AVE
LAWTON ST,19TH AVE,20TH AVE
MORAGA ST,20TH AVE,Intersection
MORAGA ST,21ST AVE,Intersection
NORIEGA ST,20TH AVE,Intersection
NORIEGA ST,21ST AVE,Intersection
ORTEGA ST,20TH AVE,Intersection
ORTEGA ST,21ST AVE,Intersection
PACHECO ST,20TH AVE,Intersection
PACHECO ST,21ST AVE,Intersection
QUINTARA ST,20TH AVE,21ST AVE
QUINTARA ST,21ST AVE,22ND AVE
QUINTARA ST,22ND AVE,23RD AVE
QUINTARA ST,23RD AVE,24TH AVE
QUINTARA ST,24TH AVE,25TH AVE
QUINTARA ST,25TH AVE,26TH AVE
QUINTARA ST,26TH AVE,27TH AVE
QUINTARA ST,27TH AVE,28TH AVE
QUINTARA ST,28TH AVE,29TH AVE
QUINTARA ST,20TH AVE,Intersection
QUINTARA ST,22ND AVE,Intersection
QUINTARA ST,21ST AVE,Intersection
QUINTARA ST,24TH AVE,Intersection
QUINTARA ST,23RD AVE,Intersection
QUINTARA ST,25TH AVE,Intersection
QUINTARA ST,26TH AVE,Intersection
QUINTARA ST,27TH AVE,Intersection
QUINTARA ST,28TH AVE,Intersection
RIVERA ST,20TH AVE,Intersection
RIVERA ST,21ST AVE,Intersection
SANTIAGO ST,20TH AVE,Intersection
SANTIAGO ST,21ST AVE,Intersection
21ST AVE,LINCOLN WAY,IRVING ST
21ST AVE,IRVING ST,JUDAH ST
21ST AVE,JUDAH ST,KIRKHAM ST
21ST AVE,KIRKHAM ST,LAWTON ST
21ST AVE,LAWTON ST,MORAGA ST
21ST AVE,MORAGA ST,NORIEGA ST
21ST AVE,NORIEGA ST,ORTEGA ST
21ST AVE,ORTEGA ST,PACHECO ST
21ST AVE,PACHECO ST,QUINTARA ST
21ST AVE,QUINTARA ST,RIVERA ST
21ST AVE,RIVERA ST,SANTIAGO ST
